"Name", "Stmts", "Miss", "Cover"
"gen_unnamed_pipe/__init__.py", "8", "0", "100%"
"gen_unnamed_pipe/core/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/core/model/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/core/model/project_setup.py", "14", "0", "100%"
"gen_unnamed_pipe/core/service/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/core/service/engine.py", "27", "3", "89%"
"gen_unnamed_pipe/core/service/iservice.py", "16", "2", "88%"
"gen_unnamed_pipe/core/service/isubprocessor.py", "16", "2", "88%"
"gen_unnamed_pipe/engine.py", "57", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/engine.py", "39", "7", "82%"
"gen_unnamed_pipe/infrastructure/cli/icli.py", "16", "2", "88%"
"gen_unnamed_pipe/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/bundle.py", "22", "1", "95%"
"gen_unnamed_pipe/infrastructure/cli/setup/dep_validator.py", "28", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/factory.py", "32", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/opt_validator.py", "28", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/registry.py", "21", "0", "100%"
"gen_unnamed_pipe/infrastructure/cli/setup/validator.py", "35", "0", "100%"
"gen_unnamed_pipe/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/infrastructure/command/command.py", "16", "0", "100%"
"gen_unnamed_pipe/infrastructure/command/gen_unnamed_pipe_command_definition.py", "24", "1", "96%"
"gen_unnamed_pipe/infrastructure/command/gen_unnamed_pipe_command_executor.py", "21", "2", "90%"
"gen_unnamed_pipe/infrastructure/command/icommand_definition.py", "15", "0", "100%"
"gen_unnamed_pipe/infrastructure/command/icommand_executor.py", "14", "1", "93%"
"gen_unnamed_pipe/infrastructure/subprocessor.py", "57", "20", "65%"
"gen_unnamed_pipe/setup/__init__.py", "9", "0", "100%"
"gen_unnamed_pipe/setup/bundle.py", "23", "1", "96%"
"gen_unnamed_pipe/setup/dep_validator.py", "28", "0", "100%"
"gen_unnamed_pipe/setup/dependencies.py", "19", "0", "100%"
"gen_unnamed_pipe/setup/factory.py", "45", "1", "98%"
"gen_unnamed_pipe/setup/keys.py", "27", "1", "96%"
"gen_unnamed_pipe/setup/opt_validator.py", "26", "9", "65%"
"gen_unnamed_pipe/setup/options.py", "12", "0", "100%"
"gen_unnamed_pipe/setup/registry.py", "29", "0", "100%"
"gen_unnamed_pipe/setup/validator.py", "40", "0", "100%"
"Total", "877", "53", "94%"
